4th_of_july,美国独立日
above_clouds,云端之上
acidapluvia,酸雨
afterglow,余晖
afternoon,午后
air_bubble,气泡
alp,阿尔卑斯山
ambience_synesthesia,环境联觉
ambient_arthropod,环境节肢动物
ambient_butterfly,环境蝴蝶
ambient_firefly,环境萤火虫
ambient_fish,环境鱼群
ambient_flier,环境飞虫
ambient_sealife,环绕海洋生物
ame.,雨
asteroid,小行星
asyura_kumo,阿修罗云
aurora,极光
aurora_(phenomenon),极光（现象）
autumm_airwave,秋之电波
autumn,秋季
autumn_leaves,秋叶
bamboo_forest,竹林
bare_tree,枯树
big_dipper,北斗七星
big_flare,巨大耀斑
black_hole,黑洞
black_sky,黑色天空
black_surge_night,黑色浪潮之夜
blood_moon,血月
blood_on_ground,地面血迹
blood_pool,血池
blue_fire,蓝色火焰
blue_sky,蓝天
bonfire,篝火
branch,树枝
brushfire,灌木火
bunny_day,兔子日
bush,灌木丛
caelum_sky,凯拉姆天空
canyon,峡谷
caustics,腐蚀剂
cave,洞穴
chasm006,裂谷006
cherry_blossom_tree,樱花树
chimangetsu,血月
chinese_new_year,春节
christmas,圣诞节
clear_sky,晴空
cliff,悬崖
cloud,云朵
cloudy_sky,阴天
cloudz,云团
cobalt_snow,钴蓝雪
cold,寒冷
colored_fire,彩色火焰
comet,彗星
condensation,冷凝
constellation,星座
contrail,航迹云
coral_reef,珊瑚礁
crack_of_light,光芒裂隙
cracked_ground,龟裂地面
crater,陨石坑
creek,溪流
crescent_moon,新月
cumulonimbus_cloud,积雨云
dappled_light,斑驳光影
dappled_sunlight,斑驳阳光
dark,黑暗
dark_clouds,乌云
darkness,黑暗
dawn,黎明
day,白天
dead_tree,枯树
desert,沙漠
desertkaiju,沙漠巨兽
dew_drop,露珠
dirt,泥土
dolphin_wave,海豚波浪
dragonscape,龙景
dream_and_nightmare,梦境与噩梦
dream_mirage,幻梦境
dripping_wet,湿身滴水
dusk,黄昏
dust,灰尘
dust_cloud,尘云
earth,地球
earth_(planet),地球（行星）
eclipse,蚀
electricity,电流
embers,余烬
evening,傍晚
falling_feathers,飘落羽毛
falling_flower,落花
falling_leaves,飘落树叶
falling_petals,飘落花瓣
fantasy_earth,幻想地球
field,田野
fire,火焰
fireworks,烟花
floating_island,浮空岛
flood,洪水
flooding,泛滥
flower_cloud_(spongebob),花云（海绵宝宝）
flower_field,花田
foam,泡沫
