accessory,饰品
adapted_costume,改编服装
alternate_costume,替换服装
animal_ear_fluff,兽耳绒毛
animal_print,动物纹样
apron,围裙
armband,臂章
armor,盔甲
armwear,臂饰
ascot,阿斯科特领巾
athletic,运动风
backpack,双肩包
backsack,背囊
bandaid,创可贴
baseball_cap,棒球帽
belt,腰带
beret,贝雷帽
bike_shorts,自行车短裤
bikini,比基尼
black_belt,黑色腰带
black_bikini,黑色比基尼
black_bow,黑色蝴蝶结
black_bra,黑色胸衣
black_choker,黑色颈圈
black_clothing,黑色服装
black_coat,黑色外套
black_dress,黑色连衣裙
black_footwear,黑色鞋履
black_gloves,黑色手套
black_hairband,黑色发带
black_hat,黑帽
black_jacket,黑色夹克
black_leotard,黑色紧身衣
black_necktie,黑色领带
black_panties,黑色内裤
black_pants,黑色长裤
black_pantyhose,黑色连裤袜
black_ribbon,黑色缎带
black_shirt,黑色衬衫
black_shorts,黑色短裤
black_skirt,黑色短裙
black_socks,黑色短袜
black_thighhighs,黑色大腿袜
blazer,西装外套
blue_bow,蓝色蝴蝶结
blue_clothing,蓝色服饰
blue_dress,蓝色连衣裙
blue_jacket,蓝色夹克
blue_ribbon,蓝色缎带
blue_sailor_collar,蓝色水手领
blue_shirt,蓝色衬衫
blue_skirt,蓝色短裙
bodysuit,连体衣
boots,靴子
bottomwear,下装
bow,蝴蝶结
bowtie,领结
bra,胸罩
bracelet,手链
brooch,胸针
brown_footwear,棕色鞋类
buttons,纽扣
cape,披风
capelet,短斗篷
cardigan,开襟毛衣
casual,休闲
cat_ears,猫耳
chain,链条
china_dress,旗袍
chinese_clothes,中华服饰
choker,颈圈
cleavage_cutout,乳沟镂空
clothed,穿着衣物
clothing,衣物
clothing_cutout,镂空剪裁
coat,外套
collar,衣领
collared_shirt,有领衬衫
crop_top,露脐上衣
cross,十字架
crown,王冠
denim,丹宁
detached_collar,分离式衣领
detached_sleeves,分离式袖子
dress,连衣裙
dress_shirt,正装衬衫
ear_piercing,耳洞
ear_ring,耳环
earrings,耳环
elbow_gloves,肘部长手套
eyepatch,眼罩
eyewear,眼部饰品
eyewear_on_head,头上戴眼镜
facial_piercing,面部穿孔
fake_animal_ears,仿真兽耳
fingerless_gloves,露指手套
fishnets,网袜
floral_print,花卉印花
footwear,鞋履
formal_clothes,正装
fox_ears,狐耳
frilled_dress,荷叶边连衣裙
frilled_skirt,荷叶边裙
frilled_sleeves,荷叶边袖
frills,荷叶边
fully_clothed,衣着完整
fur_trim,毛边装饰
garter_straps,吊带袜
gauntlets,臂铠
gem,宝石
glasses,眼镜
gloves,手套
gloves_(marking),手套（纹路）
goggles,护目镜
green_skirt,绿色短裙
grey_shirt,灰色衬衫
grey_skirt,灰色短裙
hair_accessory,发饰
hair_bobbles,发圈
hair_bow,蝴蝶结发饰
hair_flower,头花
hair_ornament,发饰
hair_ribbon,发带
hairband,发带
hairclip,发夹
hakama,袴
halo,光环
halterneck,挂脖领
handwear,手部饰品
hat,帽子
hat_bow,帽饰蝴蝶结
hat_ribbon,帽饰缎带
head_wings,头饰翅膀
headband,头带
headgear,头饰
headphones,耳机
headwear,头饰
helmet,头盔
high_heels,高跟鞋
highleg,高叉
highleg_leotard,高叉连体衣
hood,兜帽
hood_down,放下兜帽
hood_up,兜帽竖起
hooded_jacket,连帽夹克
hoodie,连帽衫
jacket,夹克
japanese_clothes,和服
jewelry,珠宝
juliet_sleeves,朱丽叶袖
kimono,和服
knee_boots,及膝靴
kneehighs,中筒袜
lace_trim,蕾丝花边
legwear,腿部服饰
leotard,连体衣
lingerie,内衣
loafers,乐福鞋
long_sleeves,长袖
maid_headdress,女仆头饰
mask,面具
military,军事
military_uniform,军装
miniskirt,迷你裙
mob_cap,侍女帽
multicolored_clothes,多彩服饰
neck_ribbon,颈带
neckerchief,颈巾
necklace,项链
necktie,领带
no_bra,无胸罩
no_panties,无内裤
no_pants,无裤
no_shoes,未穿鞋
obi,和服腰带
off_shoulder,露肩装
official_alternate_costume,官方替换服装
one-piece_swimsuit,连体泳衣
open_clothes,敞开衣物
