abandoned,被遗弃的
alley,小巷
amagi_brilliant_park,甘城光辉游乐园
amusement_park,游乐园
apartment,公寓楼
aquarium,水族馆
arcade,街机厅
architecture,建筑
awning,遮阳篷
balcony,阳台
bar,酒吧
bar_(place),酒吧
bath,沐浴
bathhouse,澡堂
bathroom,浴室
bathtub,浴缸
battle,战斗
beach,海滩
bedding_background,寝具背景
bedroom,卧室
bedroom_sex,卧室性爱
behind_glass,玻璃后方
blinds,百叶窗
blood_on_wall,墙上血迹
booth_seating,卡座席位
boushi-ya,帽子屋
brick,砖块
brick_floor,砖地
bridge,桥梁
building,建筑
building_destruction,建筑摧毁
bus_interior,巴士内部
bus_stop,公交车站
cafe,咖啡馆
campfire,篝火
car_interior,车内空间
casino,赌场
casino_(casinoep),赌场（CasinoEP系列）
castle,城堡
ceiling,天花板
cemetery,墓地
chain-link_fence,链环围栏
changing_room,更衣室
checkered_floor,方格地板
chimney,烟囱
church,教堂
city,城市
city_background,城市背景
city_destruction,城市毁灭
city_lights,城市灯光
cityscape,都市景观
classroom,教室
clock_tower,钟楼
clothing_store,服装店
cobblestone,鹅卵石
cockpit,驾驶舱
comiket_102,Comic Market 102
comiket_103,第103届漫展
communal_shower,公共淋浴
concert,音乐会
convenience_store,便利店
couch,长沙发
cracked_floor,开裂的地板
cracked_wall,裂缝墙
crosswalk,人行横道
curtains,窗帘
curtains_open,帷幕开启
dark_room,暗室
dating,约会
dirigible,飞艇
dock,码头
doorway,门廊
dungeon,地牢
east_asian_architecture,东亚建筑
easter,复活节
elevator,电梯
fence,栅栏
ferris_wheel,摩天轮
festival,祭典
fighting_ring,格斗场
final_fight,最终决战
fireplace,壁炉
fitting_room,试衣间
flight_deck,飞行甲板
floor,地面
forest_background,森林背景
fountain,喷泉
fredina's_nightclub,弗雷迪娜夜总会
garden,花园
ghoul_school,食尸鬼学园
glory_wall,荣耀之墙
graveyard,墓地
gym,健身房
gym_storeroom,体育馆储藏室
hakurei_shrine,博丽神社
halloween,万圣节
hallway,走廊
hangar,机库
harem,后宫
harlem,哈莱姆
hinamatsuri,雏祭
hospital,医院
hospital_bed,病床
hot_spring,温泉
house,房屋
hoyofair,星穹漫展
in-universe_location,作品内地点
in_box,盒装
in_container,容器内
in_cup,杯中
in_tree,在树上
indoor_nudity,室内裸体
indoors,室内
infirmary,医务室
inside_car,车内场景
inside_train,列车内部
inside_vehicle,车内视角
interior,室内场景
internal,体内
japan,日本
joy_ride,兜风
jungle,丛林
kagematsuri,阴祭
karaoke,卡拉OK
kitchen,厨房
lamppost,路灯
lane_line,车道线
lawson,罗森
library,图书馆
lighthouse,灯塔
living_room,客厅
loaded_interior,满载内饰
locker_room,更衣室
luigi's_mansion,路易吉洋楼
mansion,宅邸
market_stall,市场摊位
messy_room,凌乱房间
mira-cra_park!,未来疯狂乐园！
mixed-sex_bathing,混浴
movie_theater,电影院
multiple_torii,多重鸟居
neon_lights,霓虹灯
nishikujic,锦糸町
odawara_hakone,小田原箱根
office,办公室
on_bed,床上
on_bench,在长椅上
on_car,车上
on_chair,在椅子上
on_couch,沙发上
on_desk,桌上
on_furniture,家具上
on_grass,在草地上
on_ground,地面上
on_rock,岩石上
on_roof,屋顶上
on_sofa,在沙发上
on_table,置于桌上
on_tank,在坦克上
on_towel,毛巾上
onbashira,御柱
onsen,温泉
open_door,敞开的门
open_window,开窗
outdoor_nudity,户外裸体
outdoors,户外
outside,户外场景
outside_sex,户外性爱
pack_street,派克街
pagoda,宝塔
park,公园
park_bench,公园长椅
party,派对
path,小径
pavement,人行道
picnic,野餐
pier,码头
pillar,立柱
playground,游乐场
pool,泳池
poolside,泳池边
porch,门廊
post-apocalypse,后末日
post-apocalyptic,后末日
power_lines,电力线
prison,监狱
prison_cell,牢房
public,公开场合
public_restroom,公共卫生间
public_transportation,公共交通
pyramid,金字塔
pyramid_(structure),金字塔（建筑）
railing,栏杆
railroad_crossing,铁路道口
railroad_tracks,铁轨
rave,锐舞
real_world,现实世界
real_world_location,现实地点
red_carpet,红地毯
reflective_floor,反光地板
rei_no_pool,丽之泳池
restaurant,餐厅
restroom,洗手间
restroom_stall,卫生间隔间
road,道路
rooftop,屋顶
round_window,圆窗
rubble,瓦砾
ruins,遗迹
running_track,跑道
rural,乡村
same-sex_bathing,同性共浴
sand_castle,沙堡
sauna,桑拿
sbshouseofpancakes,松饼屋
scarlet_devil_mansion,红魔馆
school,学校
school_days,校园时光
semi_public,半公开
shared_bathing,混浴
shop,商店
shopping,购物
shore,海岸
shouji,障子
shower,淋浴
shower_(place),淋浴间
shower_room,淋浴间
shower_sex,淋浴性爱
shrine,神社
sidewalk,人行道
sister_location,姐妹地点
skyline,天际线
skyscraper,摩天大楼
sliding_doors,推拉门
smokestack,烟囱
sofa,沙发
soviet,苏联
spacecraft_interior,飞船内部
stadium,体育场
